epoch,score
1981,5187
1982,5266
1991,5115
1997,5389
1998,5744
1999,5070
2005,5755
2006,6264
2007,5747
2015,5783
2022,6168
2024,5922
2031,6806
2032,5992
2050,6327
2051,5987
2052,6505
2058,5869
2059,5215
2060,6009
2067,6493
2069,5048
2070,6377
2071,6110
2077,5937
2078,5964
2080,6509
2086,5867
2087,6129
2088,5507
2089,5707
2097,6206
2098,6024
2099,5968
2100,5286
2109,5415
2111,5450
2112,5309
2113,4583
2117,5708
2118,5182
2119,4202
2120,4111
2121,4668
2122,5031
2132,4292
2133,4604
2135,4391
2137,5468
2143,5141
2144,4200
2145,4902
2146,5372
2153,5470
2154,5765
2155,5693
2159,6293
2167,6272
2169,5855
2177,5317
2178,5166
2179,5204
2180,5869
2181,5194
2189,5622
2190,4680
2191,5024
2202,4662
2203,4534
2205,5301
2214,6164
2215,5401
2216,5362
2217,6055
2218,4724
2219,5494
2227,5356
2229,5552
2240,4455
2241,4758
2242,5375
2243,5394
2251,4629
2253,4874
2254,5645
2255,5212
2264,5252
2266,4552
2282,5145
2283,5451
2293,5853
2295,5289
2296,5346
2297,5117
2321,6955
2322,5730
2333,6688
2334,6295
2335,6136
2336,6135
2349,5757
2359,6185
2396,5879
2398,5161
2400,5038
2407,5609
2408,5652
2424,5170
2425,4720
2427,4907
2428,4657
2448,4466
2450,4212
2460,4812
2461,3925
2462,3997
2463,3857
2464,5189
2465,5050
2470,5107
2472,5078
2473,5220
2480,5567
2489,4421
2490,4718
2491,5407
2506,6108
2507,6007
2508,5072
2518,5137
2562,5888
2573,5616
2583,5293
2585,5102
2612,5576
2613,5178
2614,5417
2617,4863
2636,4570
2637,4937
2674,4779
2675,5661
2677,4656
2678,4678
2681,5228
2682,4549
2694,5125
2695,4914
2697,5197
2730,5051
2731,5092
2732,5047
2734,5170
2735,5038
2736,5457
2746,5398
2748,5578
2758,5480
2775,5770
2807,5890
2823,5487
2825,5912
2826,4826
2828,5634
2829,5307
2838,5541
2839,4937
2840,5322
2841,4800
2875,4326
2932,4342
2933,4881
2935,4439
2959,4468
2960,5134
2961,4981
2962,5215
2973,6036
2975,5110
